id,source,area,number,text,option1,option2,option3,option4,correct,rationale
e2-q47,exam2,area1,47,"During Schematic Design, the Owner directs you to bypass Design Development and proceed directly to CDs to fast-track the opening. How should you respond?",Comply immediately and add extra drafting staff,Explain that DD is critical to resolve systems and coordinate engineering; advise of risks and explore other fast-track methods,Demand that contractor shorten the construction duration instead,Refuse outright and terminate the contract,2,Bypassing DD leads to massive coordination failures and cost overruns[cite: 1]. The architect should counsel the owner and investigate phased permitting or package bidding[cite: 1].
e2-q48,exam2,area1,48,Your cost estimate shows the project is 5% over budget at the conclusion of Schematic Design. What is your contractual responsibility?,Advise the client not to worry because SD estimates are approximate,Tell the client to secure 5% more financing,Collaborate with the client to evaluate value engineering and adjust scope or finishes to align with budget,Artificially lower the square foot cost numbers on the estimate,3,"Under AIA B101, if the architect's estimate exceeds the budget at the end of SD, the architect must review options with the owner to adjust scope, size, or quality[cite: 1]."
e2-q49,exam2,area2,49,Which consultant typically produces drawings that are submitted for Planning Commission design review?,Civil Engineer,Landscape Architect,Structural Engineer,Acoustical Engineer,2,"Landscape architects prepare site layouts, hardscape, tree preservation, and planting plans which are central to planning and design review approvals[cite: 1]."
e2-q50,exam2,area1,50,"Under AIA B101, if the Owner suspends the project for more than how many cumulative days may the Architect terminate the agreement?",30 days,60 days,90 days,120 days,3,AIA B101 § 9.3 allows the architect to terminate the contract upon not less than 7 days written notice if the owner suspends the project for more than 90 cumulative days[cite: 1].
e2-q51,exam2,area3,51,Recessed light fixtures and grilles in suspended acoustical tile ceilings are required by California seismic codes to be supported by independent safety wires of what minimum gauge?,10 gauge,11 gauge,12 gauge,14 gauge,3,CISCA guidelines and ASTM standards require two 12-gauge hanger wires connected to opposite corners of recessed light fixtures[cite: 1].
e2-q52,exam2,area3,52,"In earthquake engineering for non-structural components, 'inertia failure' refers to damage caused by which phenomenon?",Excessive shaking and accelerations acting directly on the mass of the non-structural component,Building inter-story drift that distorts wall frames and glazing,Differential settlement of building footings,Soil liquefaction below grade,1,"Inertia forces are proportional to the mass and seismic acceleration (F = ma), causing unrestrained heavy components to topple or break anchors[cite: 1]."
e2-q53,exam2,area3,53,Which of the following is NOT a design prerequisite for a base-isolated seismic structure?,Superstructure designed to behave as a rigid box above the isolator plane,Limiting building height/slenderness ratio to prevent overturning moments,Upper levels of the building must have zero cantilevers,Flexible utility connections across the seismic isolation moat,3,Superstructures with cantilevers are allowed provided the structure behaves rigidly as a unified diaphragm system above the isolation plane[cite: 1].
e2-q54,exam2,area3,54,Under which soil or site condition is a mat (raft) foundation commonly specified?,Sites with high water tables or low bearing capacity where spread footings would cover over half the footprint,Sites where bedrock is shallow,Steep hillside slopes prone to mudslides,Dry sandy desert conditions,1,Mat foundations distribute loads over a massive footprint to resist differential settlement in weak soils and resist hydrostatic uplift in high water tables[cite: 1].
e2-q55,exam2,area3,55,What is a major operational limitation of air-source heat pumps in cold weather conditions?,Inability to provide cooling,Decreased heating capacity and efficiency (COP) as outside ambient air temperatures drop,High fuel storage requirements,Prohibitive duct requirements,2,"Air-source heat pumps suffer reduced coefficient of performance (COP) and diminished heating capacity in sub-freezing temperatures, requiring supplemental heat[cite: 1]."
e2-q56,exam2,area3,56,What is a primary distinction in water management between a curtain wall system and a storefront system?,Glass color availability,Operable sash hardware,"Curtain walls weep moisture horizontally at each story transom, while storefronts weep at the bottom sill flashing",Storefronts cannot receive double glazing,3,Storefronts drain internal condensation to the bottom sub-sill pan; multi-story curtain walls manage water through internal gutters weeping at each floor[cite: 1].
e2-q57,exam2,area3,57,"Other than cost and lead time, what criteria should architects evaluate when specifying materials?
A. Maintenance & Cleanability
B. Durability & Lifespan
C. Owner / User operational needs
D. Aesthetics
E. Whether the product is brand new and untested","A, B, C and D","A, B, C and E","A, B, D and E","B, C, D and E",1,"Specifying untested products without proven track records violates standard risk management practices[cite: 1]. Maintenance, durability, user need, and aesthetics are standard[cite: 1]."
e2-q58,exam2,area4,58,Which of the following items is typically shown on detail sections and wall details rather than on roof plans?,Roof crickets,Continuous thermal insulation layers,Roof drain locations,Rooftop mechanical equipment,2,"Insulation thickness, vapor retarders, and attachment details are detailed in wall/roof sections; roof plans show geometry, drains, crickets, and curbs[cite: 1]."
e2-q59,exam2,area4,59,Which dimensional data is typically found directly on drawing schedules rather than in project specifications?,Ceiling tile sizes,Door and window frame sizes,Plumbing fixture diameters,Stud gauge thicknesses,2,Door and window sizes and opening schedules belong on drawings; material technical performance and standards belong in specs[cite: 1].
e2-q60,exam2,area5,60,Which of the following documents does NOT exist at the time the original bidding documents are issued?,Form of Agreement,General and Supplementary Conditions,Bonding Requirements,Addenda,4,Addenda are modifications issued during the bidding period prior to bid receipt; they do not exist when the initial bid set is issued[cite: 1].
e2-q61,exam2,area4,61,Plan check returns with major spatial conflicts between mechanical duct runs and structural beams. What is your first action?,Notify the owner that the permit is failed,Redesign the ductwork yourself without engineering input,Review the comments and convene an immediate coordination meeting with the mechanical and structural engineers,Instruct the consultants to work it out without architect participation,3,The architect in responsible control leads coordination between structural and MEP disciplines to resolve spatial clashes[cite: 1].
e2-q62,exam2,area5,62,"If the Owner engages a Construction Manager as Advisor (CMa), which architectural CA service is shared or significantly filtered?",Review and certification of contractor payment applications,Issuance of architectural sketches,Final building occupancy inspection,Conducting aesthetic punch lists,1,"Under AIA C132/A232, the Construction Manager reviews and certifies the contractor's payment application before passing it to the architect for joint approval[cite: 1]."
e2-q63,exam2,area4,63,What is the registered Architect's legal responsibility regarding Special Inspections under Chapter 17 of the CBC?,Prepare and submit the Statement of Special Inspections to the building official,Directly hire and compensate the special inspectors,Perform all destructive laboratory testing personally,Guarantee that the contractor's work is defect-free,1,The registered design professional prepares and submits the schedule/statement of special inspections to the building official[cite: 1].
e2-q64,exam2,area5,64,"In a construction surety performance or payment bond, who is the 'Principal'?",The Architect,The Owner (Obligee),The General Contractor,The Bonding Surety Company,3,"In surety bonding, the Contractor is the Principal (whose performance is guaranteed), the Owner is the Obligee, and the insurance carrier is the Surety[cite: 1]."
e2-q65,exam2,area1,65,Which of the following is a primary characteristic of private binding arbitration compared to courtroom litigation?,Arbitration decisions can easily be appealed on legal errors,Arbitration proceedings are confidential and private,Arbitration is governed by strict public judicial rules of evidence,Arbitration is open to public court reporters,2,"Arbitration proceedings and awards are private and confidential, and grounds for judicial appeal are very limited[cite: 1]."
e2-q66,exam2,area5,66,"In a construction contract, what is the definition of 'Liquidated Damages'?",A punitive fine assessed against the contractor for poor workmanship,A penalty imposed on the owner for late progress payments,A pre-agreed reasonable estimate of daily financial loss incurred by the owner if construction is delayed past Substantial Completion,Compensation paid to subcontractors when work is shut down,3,Liquidated damages are a predetermined daily sum intended to compensate the owner for actual financial loss resulting from late completion (not a punitive penalty)[cite: 1].
e2-q67,exam2,area5,67,"Which of the following are recognized contract documents used to modify the construction work?
A. Bulletins
B. Change Orders
C. Construction Change Directives (CCD)
D. Orders for a Minor Change in the Work (ASI)","A, B and C","A, B and D","A, C and D","B, C and D",4,"AIA A201 explicitly defines Change Orders, CCDs, and Architect's Orders for a Minor Change[cite: 1]. 'Bulletin' is an informal term, not a contract modification document[cite: 1]."
e2-q68,exam2,area5,68,"Under AIA Document A201, how many days does the Architect have after receipt of the Contractor's Application for Payment to either certify or withhold payment?",5 days,7 days,10 days,14 days,2,AIA A201 § 9.4.1 requires the architect to either issue a Certificate for Payment or state reasons for withholding within 7 days[cite: 1].
e2-q69,exam2,area5,69,"Under AIA A201 § 14.1, which of the following is a valid ground for the Contractor to terminate the contract?",The work is suspended by the Owner for 10 days,Work is stopped for 30 consecutive days under an act of government or court order through no fault of the Contractor,The Architect takes 8 days to review an RFI,A subcontractor goes out of business,2,The contractor may terminate the contract if the work is stopped for 30 consecutive days by government order or court injunction through no fault of the contractor[cite: 1].
e2-q70,exam2,area5,70,"Which of the following must the Contractor submit to the Architect to receive Final Payment?
A. Contractor's affidavit of payment of debts and claims (AIA G706)
B. Consent of Surety to Final Payment (AIA G707)
C. Final unconditional lien waivers and releases
D. Building occupancy permit","A, B and C","A, B and D","A, C and D","B, C and D",1,"G706, G707, and lien waivers are required closeout submittals for final payment[cite: 1]. The certificate of occupancy is issued by the building official to the owner[cite: 1]."
Gemini-generated-q1,Gemini-generated,area1,1,"Under California Government Code § 65583, which state agency is tasked with reviewing local municipal General Plan Housing Elements for statutory compliance with the Regional Housing Needs Allocation (RHNA)?",California Department of Housing and Community Development (HCD),Governor's Office of Planning and Research (OPR),California Department of Real Estate (DRE),California Department of Consumer Affairs (DCA),1,California Government Code § 65583 requires local jurisdictions to submit draft Housing Elements to the Department of Housing and Community Development (HCD) for certification and RHNA compliance review.
Gemini-generated-q2,Gemini-generated,area1,2,"A city fails to adopt an HCD-compliant Housing Element by the statutory deadline. Under California Housing Element Law, what automatic consequence may a developer invoke for a project providing 20% low-income housing?","The Builder's Remedy, which restricts the municipality's authority to deny the project based on local zoning or general plan inconsistencies",Automatic issuance of a building permit without plan check review,Exemption from all CBC Title 24 Building Standards and fire marshal approvals,Automatic entitlement of a 100% density bonus and full waiver of all development impact fees,1,"Under the Housing Accountability Act (Gov. Code § 65589.5), the 'Builder's Remedy' restricts non-compliant municipalities from denying qualifying affordable housing projects on the basis of general plan or zoning non-conformance."
Gemini-generated-q3,Gemini-generated,area1,3,"Under BPC § 5536.22, which of the following contract provisions is an explicit statutory requirement for an architect entering into a written agreement with a client in California?",A statement notifying the client that the architect is licensed by the California Architects Board,A mandatory binding arbitration clause naming the American Arbitration Association (AAA),An express limitation of liability clause capping damages at the architect's professional fee,A statutory warranty certifying that the completed project will conform with the client's initial budget,1,"BPC § 5536.22(a)(5) requires that all written contracts include a statement informing the client that architects are licensed and regulated by the California Architects Board, including CAB contact details."
Gemini-generated-q4,Gemini-generated,area1,4,"An architect is hired by a corporate client to provide schematic feasibility studies on an hourly basis. Under BPC § 5536.22, under what condition is a written contract legally NOT required?",When the client is a public agency or when professional services are rendered without compensation to the architect,Whenever services are billed at an hourly rate rather than a stipulated lump sum,"Whenever the total anticipated fee is estimated to be less than $10,000",If the client provides an oral promise to sign an agreement prior to permit submittal,1,"BPC § 5536.22(b) exempts an architect from the written agreement mandate only if: (1) professional services are rendered for free, (2) the client is a public agency, (3) the client signs a pre-existing master service agreement, or (4) services are of the same general kind previously rendered to and paid for by the client."
Gemini-generated-q5,Gemini-generated,area1,5,"An architect forms a professional corporation in California to offer architectural services. Pursuant to the Moscone-Knox Professional Corporation Act and CAB regulations, what minimum percentage of voting shares must be owned by licensed design professionals?","100% of the shares must be owned by licensed persons, with licensed architects owning at least 51%","At least 51% must be owned by licensed architects, while the remaining 49% may be owned by unlicensed investors","At least 75% of shares must be owned by licensed architects, with 25% owned by staff employees","A minimum of 50% must be owned by architects, with no restriction on non-professional owners",1,"Under the Moscone-Knox Professional Corporation Act (Corp. Code § 13401.5) and CAB rules, non-licensed individuals cannot hold voting shares; 100% must be held by licensed design professionals, and licensed architects must own at least 51%."
Gemini-generated-q6,Gemini-generated,area1,6,"Under California law, an architect's legal standard of care requires that the architect exercise:",The degree of skill and care ordinarily exercised by reasonably prudent architects practicing under similar circumstances in the same locality,The highest level of technical perfection and strict adherence to zero-defect construction,Guaranteed compliance with all building code interpretations subsequently made by the plan checker,"The standard of care defined by published national AIA guidelines, irrespective of local jurisdictional practice",1,"In California, common law establishes the architect's standard of care as the degree of learning and skill ordinarily possessed by reputable professionals practicing in the same or similar locality under similar circumstances."
Gemini-generated-q7,Gemini-generated,area1,7,"An architect is sued for breach of contract and negligence. Under California Business and Professions Code § 5588, within how many days must an architect report a civil judgment or settlement exceeding $5,000 against them to the California Architects Board?","Within 30 days of the settlement, judgment, or arbitration award",Within 10 days of service of the summons and complaint,Within 60 days following the conclusion of the calendar year,Only during the biennial license renewal filing,1,"BPC § 5588 mandates that a licensee report any settlement or arbitration award of $5,000 or greater resulting from professional negligence or breach of contract to the California Architects Board in writing within 30 days."
Gemini-generated-q8,Gemini-generated,area1,8,"Which document, prepared by a regional Council of Governments (COG) in coordination with HCD, establishes the minimum housing production allocation that local municipal general plans must accommodate?",Regional Housing Needs Allocation (RHNA),California Environmental Quality Act Initial Study (IS),Comprehensive Annual Financial Report (CAFR),Capital Improvement Program (CIP),1,"HCD allocates regional housing targets to regional planning councils (such as SCAG or ABAG), which distribute the Regional Housing Needs Allocation (RHNA) to cities and counties for inclusion in their General Plan Housing Elements."
Gemini-generated-q9,Gemini-generated,area1,9,"An architect prepares project feasibility budgets for a commercial project. In California, which project cost component represents a municipal impact fee levied under the Mitigation Fee Act (Gov. Code § 66000)?",A development impact fee established to offset the capital cost of public infrastructure improvements caused by the project,A mandatory fee paid to the California Architects Board upon building permit submittal,An administrative penalty levied by the Regional Water Quality Control Board for stormwater compliance,A local building department surcharge dedicated entirely to third-party accessibility review,1,"The Mitigation Fee Act (AB 1600, Gov. Code § 66000) governs the establishment and collection of local development impact fees charged to defray the cost of public facilities necessitated by new development."
Gemini-generated-q10,Gemini-generated,area1,10,"Under the California Density Bonus Law (Gov. Code § 65915), a residential development project providing 10% lower-income units is entitled to which of the following statutory benefits?",A density bonus percentage and at least one development incentive or concession,A total exemption from CEQA environmental review and coastal development permits,Full waiver of all building code structural requirements under CBC Chapter 16,Automatic rezoning of the parcel from commercial to heavy industrial,1,"Government Code § 65915 entitles developers who dedicate specified percentages of affordable units to a base density bonus, reduced parking requirements, and statutory incentives or concessions that reduce site development standards."
Gemini-generated-q11,Gemini-generated,area1,11,"An architect includes a clause in a residential design contract stating: 'Architect shall be held harmless from any and all liability, including damages resulting from Architect's sole gross negligence or intentional misconduct.' Under California Civil Code § 1668, what is the legal validity of this clause?",It is void and unenforceable as against public policy,It is fully enforceable if the client signs an initialed separate waiver,It is enforceable only if professional liability insurance limits are stated in the contract,It is valid for single-family residential projects but void for multi-family commercial projects,1,"California Civil Code § 1668 establishes that contracts which have for their object to exempt anyone from responsibility for his own fraud, willful injury to the person or property of another, or violation of law, whether willful or negligent, are against public policy and void."
Gemini-generated-q12,Gemini-generated,area1,12,"In California, an architectural firm operating as a Limited Liability Partnership (LLP) must register with which two state entities prior to offering professional services?",The California Secretary of State and the California Architects Board,The Department of Housing and Community Development and the State Clearinghouse,The California Department of Tax and Fee Administration and Cal/OSHA,The Governor's Office of Planning and Research and the Department of Consumer Affairs,1,An architectural LLP must be registered with the California Secretary of State pursuant to the Corporations Code and hold a Certificate of Registration from the California Architects Board (BPC § 5580).
Gemini-generated-q13,Gemini-generated,area1,13,"Under BPC § 5536.22, if an architect provides additional services outside the original contract scope on an hourly basis, how must these additional services be documented to comply with the Practice Act?","Through a written amendment describing the additional services and compensation basis, executed before or promptly upon commencing the work",By billing the additional hours directly on the next monthly invoice without prior client authorization,Through an oral agreement between the project manager and contractor recorded in job meeting minutes,No documentation is required as long as the base contract explicitly references standard AIA G802 forms,1,BPC § 5536.22 requires that changes in the professional services provided or compensation to be paid must be memorialized in a written amendment executed by both parties.
Gemini-generated-q14,Gemini-generated,area1,14,What is the primary role of the Governor's Office of Planning and Research (OPR) in California project development?,"Formulating state planning priorities, maintaining the CEQA Guidelines, and operating the State Clearinghouse",Directly reviewing architectural construction documents for structural safety and Title 24 access,Issuing Coastal Development Permits for projects located along certified shoreline segments,Enforcing the California Architects Practice Act and prosecuting unlicensed practice violations,1,"OPR serves as the Governor's comprehensive planning agency, drafts and updates the CEQA Guidelines, and operates the State Clearinghouse for environmental document distribution."
Gemini-generated-q15,Gemini-generated,area1,15,An architect in California is retained to complete a programming report and space-needs assessment. The contract does not include construction administration services. How should the architect limit their exposure to subsequent construction defects?,Include an explicit contractual disclaimer stating the architect is not responsible for construction document interpretation or site observation unless retained under a separate agreement,Rely on the local jurisdiction's plan check department to act as the legal architect-of-record,Stipulate that the contractor assumes all common-law design liability upon receiving a building permit,Record an indemnity release with the County Recorder's Office prior to commencing schematic design,1,Standard risk management practice in California requires clearly delineating the scope of services in the written agreement and executing a separate waiver/disclaimer when not retained for subsequent construction phases.
Gemini-generated-q16,Gemini-generated,area1,16,Which California statutory entity administers the State Housing Law regulations codified in Title 24 Parts 1 and 2 for all multifamily residential occupancies?,California Department of Housing and Community Development (HCD),Division of the State Architect (DSA),Department of Health Care Access and Information (HCAI),California Air Resources Board (CARB),1,"The Department of Housing and Community Development (HCD) adopts and administers building standards under the State Housing Law (Health & Safety Code § 17910+) for hotels, motels, lodging houses, apartments, and dwellings."
Gemini-generated-q17,Gemini-generated,area1,17,"Under BPC § 5558, within how many days must a licensed architect notify the California Architects Board of a change of legal address of record?",Within 30 days of the change,Within 10 days of the change,Within 60 days of the change,At the time of the next biennial license renewal,1,BPC § 5558 mandates that each licensee shall notify the board in writing of each change of address within 30 days after the change occurs.
Gemini-generated-q18,Gemini-generated,area2,18,"Under CEQA (California Environmental Quality Act), which of the following is the key test for determining whether a public agency action constitutes a 'project' subject to environmental review?",The activity must involve a discretionary approval by a public agency that may cause either a direct or reasonably foreseeable indirect physical change in the environment,"The project budget must exceed $1,000,000 and require state funding",The project must require an amendment to the municipal General Plan or a rezoning permit,The project must involve ground disturbance within 500 feet of an active fault or wetland,1,"Under CEQA Guidelines § 15378, a 'project' means an activity directly undertaken, supported, or permitted by a public agency requiring a discretionary approval that may cause a physical change in the environment."
Gemini-generated-q19,Gemini-generated,area2,19,A property owner submits an application for a commercial building permit that strictly complies with all applicable prescriptive zoning standards and building codes. The plan checker issues the permit over the counter without a public hearing. Why is this action NOT subject to CEQA?,"It is a ministerial action involving only the application of fixed objective standards, and ministerial projects are statutorily exempt from CEQA","Commercial projects under 50,000 square feet are granted automatic immunity under CEQA Guidelines § 15002",The building department acts as a Responsible Agency and waives environmental review,Only state-owned or state-funded projects are required to undergo CEQA review,1,"CEQA applies exclusively to discretionary actions where an agency exercises judgment. Under CEQA Guidelines § 15268, ministerial projects (such as prescriptive building permits) are statutorily exempt."
Gemini-generated-q20,Gemini-generated,area2,20,"An architect is designing an infill commercial office building. The city issues an Initial Study determining that while the project could produce significant traffic and noise impacts, the developer has agreed to design revisions and mitigation measures that completely eliminate or reduce these impacts below a level of significance. What environmental document should the Lead Agency prepare?",A Mitigated Negative Declaration (MND),A Notice of Exemption (NOE),A Programmatic Environmental Impact Report (Program EIR),A Supplemental Environmental Impact Report (SEIR),1,"Under CEQA Guidelines § 15070(b), a Mitigated Negative Declaration (MND) is prepared when an Initial Study identifies potentially significant effects, but project revisions or mitigation agreed to by the applicant reduce impacts to a less-than-significant level."
Gemini-generated-q21,Gemini-generated,area2,21,"Under CEQA Guidelines § 15300.2, which condition immediately disqualifies a project from utilizing a Class 32 Infill Development Categorical Exemption?",The project site has value as an endangered species habitat or is located on a hazardous waste site listed pursuant to Gov. Code § 65962.5 (Cortese List),The project budget exceeds the local threshold for competitive public bidding,The project includes multi-family residential units with an underground parking structure,The project site is within 1 mile of a public elementary school,1,"CEQA Guidelines § 15300.2 lists categorical exemption exceptions: cumulative impacts, scenic highways, hazardous waste sites (Cortese list), and significant historical resources immediately disqualify a project from claiming a categorical exemption."
Gemini-generated-q22,Gemini-generated,area2,22,"When a Lead Agency files and posts a Notice of Determination (NOD) with the County Clerk after approving a project with an approved EIR, what is the statutory statute of limitations for filing a legal challenge against the approval?",30 calendar days from the date of posting,180 calendar days from the date of project approval,90 calendar days from the date of building permit issuance,1 year from the execution of the owner-contractor agreement,1,"Under CEQA Guidelines § 15112(c)(1), the filing and posting of a valid Notice of Determination (NOD) reduces the statute of limitations for court challenges from 180 days down to 30 calendar days."
Gemini-generated-q23,Gemini-generated,area2,23,"If a Lead Agency fails to file and post a Notice of Exemption (NOE) or Notice of Determination (NOD) following project approval, what is the default statute of limitations for an environmental legal challenge under CEQA?",180 days from the date of the agency's decision to carry out or approve the project,30 days from the date the contractor commences grading on site,60 days from the date the building official issues the permit,5 years under the California general statute of limitations for torts,1,"Under CEQA Guidelines § 15112(c)(5), if no formal notice (NOE or NOD) is filed and posted, the statute of limitations for challenging the approval is 180 days from the date of project approval."
Gemini-generated-q24,Gemini-generated,area2,24,"When a Draft Environmental Impact Report (DEIR) is submitted to the State Clearinghouse for state-level agency review, what is the standard mandatory public review period under CEQA Guidelines § 15105?",45 calendar days,30 calendar days,60 calendar days,90 calendar days,1,CEQA Guidelines § 15105(a) mandates a minimum 45-day public review period for Draft EIRs whenever the document is submitted to the State Clearinghouse for review by state agencies.
Gemini-generated-q25,Gemini-generated,area2,25,"In CEQA terminology, what is the definition of a 'Responsible Agency'?",A public agency other than the Lead Agency that has discretionary approval authority over carrying out or approving the project,The consulting engineering firm responsible for drafting the technical noise and traffic studies,The municipal building department inspector responsible for verifying field compliance,The regional environmental council that prepares the General Plan Housing Element,1,"CEQA Guidelines § 15381 defines a Responsible Agency as a public agency, other than the Lead Agency, which has discretionary approval power over a portion of the project (e.g., Regional Water Quality Control Board issuing a permit)."
Gemini-generated-q26,Gemini-generated,area2,26,A project involves altering a natural creek channel to construct a new access roadway. Which state agency must issue a § 1602 Lake or Streambed Alteration Agreement before construction can begin?,California Department of Fish and Wildlife (CDFW),California Coastal Commission (CCC),State Water Resources Control Board (SWRCB),California Department of Forestry and Fire Protection (CalFire),1,"Under California Fish and Game Code § 1602, an entity must notify the California Department of Fish and Wildlife (CDFW) and execute an agreement before substantially diverting or obstructing the natural flow of any river, stream, or lake."
Gemini-generated-q27,Gemini-generated,area2,27,"Under the California Coastal Act (Public Resources Code § 30000+), when a local government has a fully certified Local Coastal Program (LCP), who issues the primary Coastal Development Permit (CDP) for new development within the coastal zone?",The local government (city or county),The California Coastal Commission exclusively,The Governor's Office of Planning and Research,The regional air quality management district,1,"Under PRC § 30519, once the California Coastal Commission certifies a local government's LCP, the coastal development permitting authority is delegated to that local government, subject to limited appellate jurisdiction."
Gemini-generated-q28,Gemini-generated,area2,28,"Following certification of a Local Coastal Program (LCP), which of the following local project approvals remains subject to direct appeal to the California Coastal Commission?",A commercial development located between the sea and the first public road paralleling the sea,An interior tenant improvement in an existing office building located 2 miles inland from the beach,"A single-family residence outside any appeal jurisdiction, wetland, or scenic corridor","Any commercial project with a construction valuation exceeding $500,000",1,"Under PRC § 30603, local actions on developments located between the sea and the first public road paralleling the sea, within 300 feet of the mean high tide line, or within 100 feet of wetlands remain appealable to the Coastal Commission."
Gemini-generated-q29,Gemini-generated,area2,29,"What must a Lead Agency adopt under CEQA if an EIR identifies significant unavoidable environmental impacts, but the agency determines that specific economic, legal, social, or technical benefits outweigh those unavoidable impacts?",A Statement of Overriding Considerations,A Notice of Preparation (NOP),A Mitigated Negative Declaration (MND),A Conditional Use Permit (CUP),1,"Under CEQA Guidelines § 15093, if an agency decides to approve a project despite significant unavoidable environmental effects identified in the EIR, it must adopt a formal Statement of Overriding Considerations explaining its benefits."
Gemini-generated-q30,Gemini-generated,area2,30,What is the function of a Mitigation Monitoring and Reporting Program (MMRP) under CEQA Guidelines § 15097?,To ensure that environmental mitigation measures adopted during CEQA review are tracked and implemented during project construction,To monitor the financial profitability and lease-up performance of an affordable housing development,To record municipal liens against properties that fail to comply with CALGreen energy budgets,To verify that the architect's construction drawings match MasterFormat 50-division specifications,1,"Under PRC § 21081.6 and CEQA Guidelines § 15097, the Lead Agency must adopt an MMRP to track, verify, and enforce the implementation of all mitigation measures required by an MND or EIR."
Gemini-generated-q31,Gemini-generated,area2,31,"An owner seeks a zoning variance from a municipal planning commission to reduce the required rear setback on an oddly configured hillside lot. Under California Government Code § 65906, what is the mandatory statutory basis for granting a variance?","Disparities in physical lot topography, size, shape, or surroundings that deprive the owner of privileges enjoyed by other property in the vicinity",Economic hardship resulting from rising construction costs and interest rates,The applicant's willingness to dedicate 10% of the building square footage to public park use,A showing that the variance will maximize the developer's architectural floor area ratio,1,"Gov. Code § 65906 strictly limits variances to instances where, because of special physical circumstances applicable to the property (size, shape, topography, location), the strict application of the zoning ordinance deprives the property of privileges enjoyed by nearby properties."
Gemini-generated-q32,Gemini-generated,area2,32,"Under California planning law, what is the primary legal mechanism used to establish specific operational and performance conditions on a land use that is permitted by right only under certain criteria?",Conditional Use Permit (CUP),Zoning Variance,Notice of Determination (NOD),General Plan Amendment,1,"A Conditional Use Permit (CUP) allows a municipality to review discretionary land uses that are fundamentally compatible with a zone but require special operational, design, or traffic conditions to avoid neighborhood conflicts."
Gemini-generated-q33,Gemini-generated,area2,33,"Under the San Francisco Bay Conservation and Development Commission (BCDC) jurisdiction, how far inland from the mean high water line does BCDC maintain permit authority over shoreline development and public access?",A 100-foot shoreline band extending inland from the line of highest tidal action,"A 1,000-yard coastal zone boundary",1 mile from the edge of the navigable shipping channel,Up to the first public highway paralleling San Francisco Bay,1,"Under the McAteer-Petris Act (Gov. Code § 66610), BCDC exercises jurisdiction over all water areas of San Francisco Bay and a 100-foot shoreline band inland from the line of highest tidal action to secure maximum public shoreline access."
Gemini-generated-q34,Gemini-generated,area2,34,A proposed warehouse project requires the discharge of dredge or fill material into a jurisdictional wetland. Which agency issues a Section 401 Water Quality Certification in California to certify compliance with state water quality standards?,The Regional Water Quality Control Board (RWQCB),The California Coastal Commission (CCC),The Division of the State Architect (DSA),The Department of Toxic Substances Control (DTSC),1,"Under Section 401 of the Clean Water Act and California's Porter-Cologne Water Quality Control Act, the Regional Water Quality Control Board (RWQCB) issues Water Quality Certifications for federal dredge and fill activities."
Gemini-generated-q35,Gemini-generated,area2,35,"When an EIR is prepared, what is the mandatory time frame for public agencies to respond to a Notice of Preparation (NOP) issued by the Lead Agency under CEQA Guidelines § 15082?",30 calendar days from receipt of the NOP,14 calendar days from receipt of the NOP,45 calendar days from receipt of the NOP,60 calendar days from receipt of the NOP,1,"Under CEQA Guidelines § 15082(b), Responsible and Trustee Agencies have 30 days following receipt of the Notice of Preparation (NOP) to provide comments regarding the scope and content of the environmental information to be analyzed in the EIR."
Gemini-generated-q36,Gemini-generated,area2,36,"Under California planning law (Gov. Code § 65302), which of the following is one of the mandatory seven elements that EVERY city and county General Plan must include?",Safety Element,Historic Preservation Element,Architectural Design Element,Sustainable Tourism Element,1,"California Government Code § 65302 mandates that every General Plan include seven core elements: Land Use, Circulation, Housing, Conservation, Open Space, Noise, and Safety (with Environmental Justice added for certain communities)."
Gemini-generated-q37,Gemini-generated,area2,37,Which public agency acts as a 'Trustee Agency' under CEQA with statutory jurisdiction over natural resources held in trust for the people of California?,California Department of Fish and Wildlife (CDFW),California Architects Board (CAB),Department of Housing and Community Development (HCD),Governor's Office of Planning and Research (OPR),1,"CEQA Guidelines § 15386 defines Trustee Agencies as state agencies having jurisdiction by law over natural resources affected by a project, which include CDFW, State Lands Commission, State Department of Parks and Recreation, and UC Natural Reserve System."
Gemini-generated-q38,Gemini-generated,area3,38,"Under CBC Chapter 16 and ASCE 7 seismic design requirements enforced throughout California, which structural detail is critical to prevent non-structural interior full-height gypsum partitions from cracking under lateral seismic floor drift?",Deflection tracks (slip tracks) with slotted holes at the ceiling head connection,Continuous welding of metal studs directly to structural overhead steel beams,Direct screwing of drywall to ceiling runners with zero gap at structural floor slabs,Elimination of expansion joints along partition corridors longer than 30 feet,1,"To accommodate inter-story seismic drift without transferring vertical floor loads or racking stress into non-loadbearing partitions, seismic deflection/slip tracks at the partition head are required."
Gemini-generated-q39,Gemini-generated,area4,39,"Under the California Building Code (Title 24, Part 2), which chapter governs accessibility standards for privately funded multi-family residential dwelling units consisting of three or more units?",CBC Chapter 11A (enforced by local building departments under HCD authority),CBC Chapter 11B (enforced by DSA-AC for public accommodations),CBC Chapter 10 (Means of Egress),CBC Chapter 16 (Structural Design),1,"CBC Chapter 11A covers accessibility standards for covered multi-family dwellings of three or more units and is adopted by the Department of Housing and Community Development (HCD). Chapter 11B applies to public accommodations, commercial facilities, and publicly funded housing."
