id,source,number,text,option1,option2,option3,option4,correct,rationale
e2-q12,exam2,12,"According to the California Building Code, what is the minimum size requirement for a Fire Service Access Elevator (FSAE) lobby?",120 sq. ft. in size and 8 ft. minimum each side,120 sq. ft. in size and 10 ft. minimum each side,150 sq. ft. in size and 8 ft. minimum dimension,150 sq. ft. in size and 10 ft. minimum dimension,3,CBC Section 3007 specifies the FSAE lobby must be not less than 150 sq. ft. with a minimum dimension of 8 feet.
e2-q13,exam2,13,"As per the structural requirements of the California Building Code, Risk Category (Occupancy Category) IV includes which structures?",Buildings and structures designated as essential facilities,Buildings that represent a substantial hazard to human life in event of failure,Buildings that represent a moderate hazard to human life,Buildings that represent a low hazard to human life,1,"Category IV structures are designated essential facilities (police, fire, emergency communications, designated disaster shelters)."
e2-q14,exam2,14,"According to CBC Chapter 11B, in a multi-compartment restroom, an additional 36-inch wide ambulatory accessible stall is required under which condition?",For every 8 water closets,For every 8 fixtures including combinations of urinals and water closets,For every 6 water closets,Where 6 or more water closets and urinals are provided in the room,4,CBC 11B-213.3.1 requires an ambulatory accessible compartment when six or more water closets and urinals combined are installed.
e2-q15,exam2,15,What is the ratio requirement for van-accessible parking spaces under CBC Chapter 11B?,At least one for every 5 or fraction of 5 accessible spaces,At least one for every 6 or fraction of 6 accessible spaces,At least one for every 7 or fraction of 7 accessible spaces,At least one for every 8 or fraction of 8 accessible spaces,2,"CBC 11B-208.2.4 mandates that for every six or fraction of six accessible spaces, at least one must be a van-accessible space (132"" wide stall or 108"" stall with 96"" aisle)."
e2-q16,exam2,16,"For temporary or movable equipment stationed in one place for no more than 8 hours, current code allows enforcing agencies to require seismic restraints when the equipment exceeds what weight?",100 lbs,200 lbs,300 lbs,400 lbs,4,Equipment weighing more than 400 lbs must be anchored to prevent overturning and slide hazards.
e2-q17,exam2,17,The California Electrical Code allows which professional other than registered electrical engineers to serve as Design Reviewers for electrical systems?,Architect,Owner Employed Special Inspector,Building Department Plan Checker,Only electrical engineers,1,Licensed architects are recognized as registered design professionals capable of overall system design review.
e2-q18,exam2,18,"According to the California Health and Safety Code, which of the following safety features is required for all commercial and public swimming pools?",Underwater wet-niche light fixtures,Variable speed circulation pumps,Anti-vortex drains,Anti-entrapment drain covers/devices,4,Anti-entrapment covers complying with ASME/ANSI A112.19.8 (or suction limitation systems) are mandated under the Swimming Pool Safety Act.
e2-q19,exam2,19,"California Design Professional Lien law requires that prior to recording a lien, design professionals must provide the owner with written demand at least how many days in advance?",10 days,15 days,30 days,60 days,1,California Civil Code § 8416 requires design professionals to give the property owner at least 10 days written notice before recording a lien.
e2-q20,exam2,20,"In order to preserve the right to file a mechanic's lien, when must a sub-contractor serve the Preliminary 20-Day Notice?",Within 20 days after starting construction on the job site,Within 20 days after the subcontractor begins providing work or materials,Within 20 days after completing work,Within 20 days of the first progress payment application,2,"Civil Code § 8204 states the preliminary notice must be served not later than 20 days after the claimant first furnishes work, services, or equipment."
e2-q21,exam2,21,"According to the California Clean Air Act, stationary equipment or industrial processes that emit pollutants are required to obtain what from the local AQMD?",Letter of Permission,Permit to Operate (PTO),General Permit,Standard Permit,2,Local Air Quality Management Districts issue an Authority to Construct followed by a Permit to Operate (PTO).
e2-q22,exam2,22,"According to the California Coastal Act, what is the general geographic boundary of the Coastal Zone?",Between the sea and the first public road,"Extends 1 mile seaward and 1,000 yards inland",Extends seaward 3 miles and 100 yards inland,"Extends seaward to state jurisdictional limits (3 nmi) and generally 1,000 yards inland (up to 5 miles in rural habitat/mountain zones)",4,"The Coastal Zone extends 3 miles offshore to the state boundary and inland generally 1,000 yards, expanding up to 5 miles in undeveloped coastal ridgelines."
e2-q23,exam2,23,"Which of the following are required of architects when exercising Responsible Control under California law?
A. Be licensed in California
B. Stamp and sign drawings
C. Exercise standard of care over document preparation
D. Execute a written contract
E. Carry errors and omissions insurance",A and B,"A, B and C","A, B, C and D",All of the above,2,"B&P Code § 5535.1 defines responsible control by licensure, stamp/seal, and direct control and review. Contracts and insurance are business requirements, not components of responsible control."
e2-q24,exam2,24,"Under the Architects Practice Act, in which of the following scenarios is the Architect REQUIRED to have a written contract?",Performing pro bono work with zero compensation,Providing services of the same kind previously rendered to and paid for by the same client,Providing architectural services to a professional traffic engineer,The client states in writing that they do not want a contract,3,"B&P Code § 5536.22 exempts work for professional engineers, but a traffic engineer or unlicensed consultant is not a registered civil/structural/mechanical/electrical engineer."
e2-q25,exam2,25,The California Architects Practice Act states that misdemeanor practice of architecture without a license is punishable by what?,"Fine of $100 to $2,000 or up to 1 year imprisonment","Fine of $100 to $5,000 or imprisonment in county jail up to 1 year, or both","Fine of $200 to $2,000 or up to 2 years imprisonment","Fine of $200 to $5,000 or up to 2 years imprisonment",2,"B&P Code § 5536 makes unlicensed practice a misdemeanor punishable by a fine not less than $100 and not more than $5,000, or by imprisonment up to 1 year, or both."
e2-q26,exam2,26,Which project is exempt from the licensing provisions of the California Architects Practice Act?,"Single-family dwelling of reinforced masonry construction, 2 stories high","Multiple dwellings with 5 wood-frame units, 2 stories high",Clusters of multi-family dwellings totaling 4 units,Garages and similar wood-frame outbuildings not over 2 stories and basement,4,"Wood frame conventional construction garages, outbuildings, and single-family dwellings are exempt under B&P Code § 5537 (masonry construction requires an architect or engineer)."
e2-q27,exam2,27,"To form a Registered Limited Liability Partnership (LLP) in California, the entity must file registration with which agency?",California Secretary of State,Department of Consumer Affairs,Business and Transportation Agency,Department of Corporations,1,"All corporate, LLC, and LLP entity registrations are filed with the California Secretary of State."
e2-q28,exam2,28,California state administrative regulations governing architect firm naming and advertising are found in which title?,Title 2: Administration,Title 4: Business Regulations,Title 11: Law,Title 16: Professional and Vocational Regulations,4,"Title 16, Division 2 contains the rules and regulations of the California Architects Board."
e2-q29,exam2,29,Which of the following is one of the mandatory elements of a California General Plan?,Sustainability,Noise,Recreation,Public Transit,2,"The seven mandatory General Plan elements are Land Use, Circulation, Housing, Conservation, Open Space, Noise, and Safety."
e2-q30,exam2,30,"Which of the following is NOT true regarding private Covenants, Conditions and Restrictions (CC&Rs)?",They are enforced by homeowners associations or private lawsuits,They run with the land to bind future owners,"They govern only physical characteristics of properties such as size, roof color, and landscaping",They are recorded with the county recorder,3,"CC&Rs frequently govern non-physical items such as pet restrictions, rental limitations, quiet hours, and business uses."
e2-q31,exam2,31,Who has legal authority to enforce the federal Americans with Disabilities Act (ADA) in California?,Local Building Departments,Division of the State Architect (DSA),OSHPD / HCAI,U.S. Department of Justice or private parties via civil lawsuits,4,"ADA is a federal civil rights statute enforced by the US Department of Justice and federal courts. Local building departments enforce Title 24, not the ADA."
e2-q32,exam2,32,Which is an area where California Building Code accessibility standards differ and are more stringent than the 2010 ADA Guidelines?,Detectable warning truncated domes at transit boarding and curb ramps,Dimensions of elevator cars,Passenger Loading zones,There are no differences,1,"California mandates yellow detectable warning truncated domes at curb ramps and hazardous vehicular ways, whereas ADA eliminated some of these requirements."
e2-q33,exam2,33,"Under federal aviation regulations, when must an architect/sponsor notify the FAA (Form 7460-1)?",Highways taller than 100 ft,Any construction exceeding 100 ft above ground level,Any construction exceeding 200 ft above ground level or within airport approach slope surfaces,Alterations within set distances from a heliport only,3,FAA notification is required for structures greater than 200 feet above ground level or piercing imaginary approach surfaces.
e2-q34,exam2,34,Which of the following is NOT a federal statute granting the U.S. Army Corps of Engineers regulatory jurisdiction over waters and wetlands?,Rivers and Harbors Act § 10,National Environmental Quality Act,Clean Water Act § 404,"Marine Protection, Research and Sanctuaries Act",2,There is no 'National Environmental Quality Act' (it is NEPA). The Rivers and Harbors Act and Clean Water Act are the Army Corps' statutes.
e2-q35,exam2,35,AF&PA / NDS is the recognized national design standard for which building material?,Wood,Concrete,Masonry,Structural Steel,1,NDS is the National Design Specification for Wood Construction (American Forest & Paper Association / American Wood Council).
e2-q36,exam2,36,"Under the California Unified Program, which local agency typically conducts review and approval of Hazardous Materials Management Plans (HMMP)?",Public Works Department,Department of Environmental Health,Building Department,Local Fire Department,4,Local fire departments act as the CUPA to review HMMPs and chemical inventory hazardous materials disclosure.
e2-q37,exam2,37,"Which building elements are typically submitted to local police departments for Crime Prevention Through Environmental Design (CPTED) review?
A. Security cameras
B. Alarm systems
C. Access control gates
D. Walk-up ATM machines","A, B and C","A, B and D","B, C and D",All of the above,4,"Police departments review security site plans including lighting, ATM sightlines, alarms, and electronic access gates."
e2-q38,exam2,38,Which of the following is NOT an operational responsibility of county Flood Control Districts?,Protection of watercourses and water conveyance,Protection of land and structures from stormwater flooding,Remediation of underground chemical aquifer contamination,Preservation of floodwater for percolation and beneficial reuse,3,"Contamination cleanups are handled by the RWQCB and DTSC, not county flood control agencies."
e2-q39,exam2,39,Which of the following is NOT a regulatory function of the California Air Resources Board (CARB)?,Regulating formaldehyde emissions from plastic pipe products,Controlling VOC emissions from architectural coatings and paints,Reducing mobile emission sources from freight transport,Developing state clean air implementation plans,1,"CARB ATCM limits formaldehyde in composite wood products (MDF, particleboard, hardwood plywood), not plastic plumbing pipes."
e2-q40,exam2,40,"The California Division of the State Architect (DSA) has full plan check and building enforcement authority over which facility types?
A. K-12 public schools
B. Community colleges
C. University of California buildings
D. California State University buildings",A only,A and B,"B, C and D",All of the above,2,DSA regulates K-12 and community colleges under the Field Act. UC and CSU have independent seismic boards and only use DSA for accessibility.
e2-q41,exam2,41,A General / Nationwide Permit issued by the U.S. Army Corps of Engineers applies to which type of work?,Projects approved on an accelerated emergency basis,Projects with severe wetland displacement,Projects that cause only minimal individual and cumulative adverse environmental impacts,Projects with zero environmental touch,3,General/Nationwide permits apply to defined categories of activities that cause only minimal adverse environmental effects.
e2-q42,exam2,42,What is the primary role of the California Governor's Office of Planning and Research (OPR)?,Coordinate statewide environmental review and provide CEQA guidelines,Act as a binding mediator for disputes between cities,Issue environmental permits for highway systems,Approve architectural licenses,1,OPR develops CEQA implementation guidelines and runs the State Clearinghouse to coordinate state environmental reviews.
e2-q43,exam2,43,"Under CEQA, what can a Responsible Agency do if it finds that a Lead Agency prepared an inadequate EIR?","Nothing, the Lead Agency's decision is completely unchallengeable",Request the State Clearinghouse reverse the decision,Appeal to the County Grand Jury,Assume the role of Lead Agency or file a legal challenge within 30 days of the NOD,4,CEQA Guidelines § 15096 allows a responsible agency to take over lead agency duties under certain conditions or file a court petition.
e2-q44,exam2,44,Which of the following is typically included in the civil engineer's scope of design services?,Landscape irrigation design,Pavement design and site parking grading/drainage,Water supply pipes inside the building envelope,Parking lot lighting photometrics,2,"Civil engineers handle site grading, paving sections, and site stormwater drainage. Irrigation is landscape; interior piping is plumbing; lighting is electrical."
e2-q45,exam2,45,Which of the following is NOT considered an effective internal QA/QC coordination practice?,Exchanging milestone progress sets with consultants,Securing written client approvals at completion of each design phase,Holding the first interdisciplinary coordination meeting at the start of the CD phase,Continuous senior peer review throughout the project life cycle,3,Waiting until the Construction Documents phase to hold the first consultant coordination meeting is far too late and leads to substantial redesign.
e2-q46,exam2,46,"Which of the following practices actively builds awareness of the standard of care and strengthens an architect's professional capability?
A. Reviewing prominent design trends
B. Studying product manufacturer technical literature
C. Attending accredited continuing education seminars
D. Participating in peer review programs
E. Publishing an article about self-projects","A, B and C","A, C and E","A, D and E","B, C and D",4,"Manufacturer literature, continuing education courses, and peer reviews sharpen technical competency and align practice with the professional standard of care."
e2-q47,exam2,47,"During Schematic Design, the Owner directs you to bypass Design Development and proceed directly to CDs to fast-track the opening. How should you respond?",Comply immediately and add extra drafting staff,Explain that DD is critical to resolve systems and coordinate engineering; advise of risks and explore other fast-track methods,Demand that contractor shorten the construction duration instead,Refuse outright and terminate the contract,2,Bypassing DD leads to massive coordination failures and cost overruns. The architect should counsel the owner and investigate phased permitting or package bidding.
e2-q48,exam2,48,Your cost estimate shows the project is 5% over budget at the conclusion of Schematic Design. What is your contractual responsibility?,Advise the client not to worry because SD estimates are approximate,Tell the client to secure 5% more financing,Collaborate with the client to evaluate value engineering and adjust scope or finishes to align with budget,Artificially lower the square foot cost numbers on the estimate,3,"Under AIA B101, if the architect's estimate exceeds the budget at the end of SD, the architect must review options with the owner to adjust scope, size, or quality."
e2-q49,exam2,49,Which consultant typically produces drawings that are submitted for Planning Commission design review?,Civil Engineer,Landscape Architect,Structural Engineer,Acoustical Engineer,2,"Landscape architects prepare site layouts, hardscape, tree preservation, and planting plans which are central to planning and design review approvals."
e2-q50,exam2,50,"Under AIA B101, if the Owner suspends the project for more than how many cumulative days may the Architect terminate the agreement?",30 days,60 days,90 days,120 days,3,AIA B101 § 9.3 allows the architect to terminate the contract upon not less than 7 days written notice if the owner suspends the project for more than 90 cumulative days.
e2-q51,exam2,51,Recessed light fixtures and grilles in suspended acoustical tile ceilings are required by California seismic codes to be supported by independent safety wires of what minimum gauge?,10 gauge,11 gauge,12 gauge,14 gauge,3,CISCA guidelines and ASTM standards require two 12-gauge hanger wires connected to opposite corners of recessed light fixtures.
e2-q52,exam2,52,"In earthquake engineering for non-structural components, 'inertia failure' refers to damage caused by which phenomenon?",Excessive shaking and accelerations acting directly on the mass of the non-structural component,Building inter-story drift that distorts wall frames and glazing,Differential settlement of building footings,Soil liquefaction below grade,1,"Inertia forces are proportional to the mass and seismic acceleration ($F = ma$), causing unrestrained heavy components to topple or break anchors."
e2-q53,exam2,53,Which of the following is NOT a design prerequisite for a base-isolated seismic structure?,Superstructure designed to behave as a rigid box above the isolator plane,Limiting building height/slenderness ratio to prevent overturning moments,Upper levels of the building must have zero cantilevers,Flexible utility connections across the seismic isolation moat,3,Superstructures with cantilevers are allowed provided the structure behaves rigidly as a unified diaphragm system above the isolation plane.
e2-q54,exam2,54,Under which soil or site condition is a mat (raft) foundation commonly specified?,Sites with high water tables or low bearing capacity where spread footings would cover over half the footprint,Sites where bedrock is shallow,Steep hillside slopes prone to mudslides,Dry sandy desert conditions,1,Mat foundations distribute loads over a massive footprint to resist differential settlement in weak soils and resist hydrostatic uplift in high water tables.
e2-q55,exam2,55,What is a major operational limitation of air-source heat pumps in cold weather conditions?,Inability to provide cooling,Decreased heating capacity and efficiency (COP) as outside ambient air temperatures drop,High fuel storage requirements,Prohibitive duct requirements,2,"Air-source heat pumps suffer reduced coefficient of performance (COP) and diminished heating capacity in sub-freezing temperatures, requiring supplemental heat."
e2-q56,exam2,56,What is a primary distinction in water management between a curtain wall system and a storefront system?,Glass color availability,Operable sash hardware,"Curtain walls weep moisture horizontally at each story transom, while storefronts weep at the bottom sill flashing",Storefronts cannot receive double glazing,3,Storefronts drain internal condensation to the bottom sub-sill pan; multi-story curtain walls manage water through internal gutters weeping at each floor.
e2-q57,exam2,57,"Other than cost and lead time, what criteria should architects evaluate when specifying materials?
A. Maintenance & Cleanability
B. Durability & Lifespan
C. Owner / User operational needs
D. Aesthetics
E. Whether the product is brand new and untested","A, B, C and D","A, B, C and E","A, B, D and E","B, C, D and E",1,"Specifying untested products without proven track records violates standard risk management practices. Maintenance, durability, user need, and aesthetics are standard."
e2-q58,exam2,58,Which of the following items is typically shown on detail sections and wall details rather than on roof plans?,Roof crickets,Continuous thermal insulation layers,Roof drain locations,Rooftop mechanical equipment,2,"Insulation thickness, vapor retarders, and attachment details are detailed in wall/roof sections; roof plans show geometry, drains, crickets, and curbs."
e2-q59,exam2,59,Which dimensional data is typically found directly on drawing schedules rather than in project specifications?,Ceiling tile sizes,Door and window frame sizes,Plumbing fixture diameters,Stud gauge thicknesses,2,Door and window sizes and opening schedules belong on drawings; material technical performance and standards belong in specs.
e2-q60,exam2,60,Which of the following documents does NOT exist at the time the original bidding documents are issued?,Form of Agreement,General and Supplementary Conditions,Bonding Requirements,Addenda,4,Addenda are modifications issued during the bidding period prior to bid receipt; they do not exist when the initial bid set is issued.
e2-q61,exam2,61,Plan check returns with major spatial conflicts between mechanical duct runs and structural beams. What is your first action?,Notify the owner that the permit is failed,Redesign the ductwork yourself without engineering input,Review the comments and convene an immediate coordination meeting with the mechanical and structural engineers,Instruct the consultants to work it out without architect participation,3,The architect in responsible control leads coordination between structural and MEP disciplines to resolve spatial clashes.
e2-q62,exam2,62,"If the Owner engages a Construction Manager as Advisor (CMa), which architectural CA service is shared or significantly filtered?",Review and certification of contractor payment applications,Issuance of architectural sketches,Final building occupancy inspection,Conducting aesthetic punch lists,1,"Under AIA C132/A232, the Construction Manager reviews and certifies the contractor's payment application before passing it to the architect for joint approval."
e2-q63,exam2,63,What is the registered Architect's legal responsibility regarding Special Inspections under Chapter 17 of the CBC?,Prepare and submit the Statement of Special Inspections to the building official,Directly hire and compensate the special inspectors,Perform all destructive laboratory testing personally,Guarantee that the contractor's work is defect-free,1,The registered design professional prepares and submits the schedule/statement of special inspections to the building official.
e2-q64,exam2,64,"In a construction surety performance or payment bond, who is the 'Principal'?",The Architect,The Owner (Obligee),The General Contractor,The Bonding Surety Company,3,"In surety bonding, the Contractor is the Principal (whose performance is guaranteed), the Owner is the Obligee, and the insurance carrier is the Surety."
e2-q65,exam2,65,Which of the following is a primary characteristic of private binding arbitration compared to courtroom litigation?,Arbitration decisions can easily be appealed on legal errors,Arbitration proceedings are confidential and private,Arbitration is governed by strict public judicial rules of evidence,Arbitration is open to public court reporters,2,"Arbitration proceedings and awards are private and confidential, and grounds for judicial appeal are very limited."
e2-q66,exam2,66,"In a construction contract, what is the definition of 'Liquidated Damages'?",A punitive fine assessed against the contractor for poor workmanship,A penalty imposed on the owner for late progress payments,A pre-agreed reasonable estimate of daily financial loss incurred by the owner if construction is delayed past Substantial Completion,Compensation paid to subcontractors when work is shut down,3,Liquidated damages are a predetermined daily sum intended to compensate the owner for actual financial loss resulting from late completion (not a punitive penalty).
e2-q67,exam2,67,"Which of the following are recognized contract documents used to modify the construction work?
A. Bulletins
B. Change Orders
C. Construction Change Directives (CCD)
D. Orders for a Minor Change in the Work (ASI)","A, B and C","A, B and D","A, C and D","B, C and D",4,"AIA A201 explicitly defines Change Orders, CCDs, and Architect's Orders for a Minor Change. 'Bulletin' is an informal term, not a contract modification document."
e2-q68,exam2,68,"Under AIA Document A201, how many days does the Architect have after receipt of the Contractor's Application for Payment to either certify or withhold payment?",5 days,7 days,10 days,14 days,2,AIA A201 § 9.4.1 requires the architect to either issue a Certificate for Payment or state reasons for withholding within 7 days.
e2-q69,exam2,69,"Under AIA A201 § 14.1, which of the following is a valid ground for the Contractor to terminate the contract?",The work is suspended by the Owner for 10 days,Work is stopped for 30 consecutive days under an act of government or court order through no fault of the Contractor,The Architect takes 8 days to review an RFI,A subcontractor goes out of business,2,The contractor may terminate the contract if the work is stopped for 30 consecutive days by government order or court injunction through no fault of the contractor.
e2-q70,exam2,70,"Which of the following must the Contractor submit to the Architect to receive Final Payment?
A. Contractor's affidavit of payment of debts and claims (AIA G706)
B. Consent of Surety to Final Payment (AIA G707)
C. Final unconditional lien waivers and releases
D. Building occupancy permit","A, B and C","A, B and D","A, C and D","B, C and D",1,"G706, G707, and lien waivers are required closeout submittals for final payment. The certificate of occupancy is issued by the building official to the owner."
